Name,Address,State,City,Phone,Email,PPN
Mahesh Hospital,NEAR MAHESH HARDWARE NH 66 VARAMBALLI VILLAGE BRAHAMAVARA POST,Karnataka,Bhramavara,2562656/2563956,MAHESHHOSPITAL@GMAIL.COM,No
Mahesh Hospital,1st Floor  Balaji Apartments  Poona- Link Road  Kalyan (E),Maharashtra,Kalyan (E),0251 - 2331577,drsmchaudhari@yahoo.co.in,Yes
Maheshwari Nursing Home,85  Laxmi Bai Colony  Padav  Nr.Laxmi Bai State,Madhya Pradesh,Gwalior,0751 - 4012551 / 4012552 / 2326594,maheshwarinh@gmail.com,No
Mahindru Hospital,E-1  Kiran Garden  Uttam Nagar  Opp. Metro Pillar No. -712,Delhi,New Delhi,011 - 25343500 / 25333500 / 25337986,mhkgn@yahoo.co.in,Yes
Maitri Hospital,Labh Complex  Nr. New India Mill  Jetalpur Road,Gujarat,Vadodara,0265 - 2322112 / 2354460,drmmtailor@yahoo.com,No
Majumder Millennium Nursing Home And Reliable Diagnostic Centre Pvt Ltd,A-9x-3(Ca)Kalyani,West Bengal,Kalyani,033 - 25820685,majumdermillenium@yahoo.com,No
Makkar Medical Centre,A-1  Pryadarshini Vihar New Delhi,Delhi,New Delhi,011 - 22462221 / 22466992,makkarmedicalcentre@gmail.com,Yes
Malabar Hospital,Rajiv Gandhi By Pass Road  Karuvambrum Post Manjeri  Malapuram Dist - 676123,Kerala,Manjeri,0483 - 2805100 / 2805104,mjimalabar@gmail.com,No
Malabar Hospitals,Nh 47 West Yakkara Kunnathumedu P.O.,Kerala,Palakkad,0491 - 2528200 / 2528201,malabarhospital@gmail.com,No
Malabar Institute Of Medical Science Ltd,Near Pwdguest House,Kerala,Malapuram,483-2807000,insurance.mimsk@asterhospital.com,No
Malabar Institute Of Medical Sciences,Mini By Pass Road  Govindapuram .P.O  Govindapuram .P.O,Kerala,Calicut,0495-2744000,insurancedesk@asterhospital.com,No
Malabar Urology Centre Pvt Ltd,Eranhipalam  Civil Station P.O  Calicut-673020  Kerala State,Kerala,Calicut,0495 - 2374706 / 2374826 / 2376822 / 2376823,malabarhospitals@gmail.com,No
Malik Radix Health Care Pvt Ltd,C-218nirman Vihar  Vikash Marg Extn  Delhi,Delhi,New Delhi,011 - 22011192 / 22011196,medicalsmrhc2015@gmail.com,Yes
Malligai Hospital,# 33  Kanakapillai Street  Tondiarpet,Tamil Nadu,Chennai,044 - 25955152 / 25963789,malligaihospitalchn@gmail.com,No
Mallige Medical Centre,# 31/32  Cresent Road  Bangalore,Karnataka,Bengaluru,080 - 67165555 / 67165252,insurance@mallige.com,No
Mallika Hospital,Sharma Estate  Next To Devan Shopping Centre  S.V.Road  Jogeshwari (West)  Mumbai: 400102,Maharashtra,Mumbai,022 - 26797171 / 26798585 / 26798589,hospital.m@gmail.com,Yes
Mallya Hospital,No 2 Vittal Mallya Road,Karnataka,Bengaluru,080 - 22277979,mallyainsurance@gmail.com,Yes
Malnad Hospital And Institute Of Oncology,9th Milestone  B.H. Road Opp.Bidare Bus Stop,Karnataka,Shimoga,08182 - 246800,mhio.hcg@gmail.com,No
Malpani Multispeciality Hospital,S P-6  Road# 1  Vishwakarma Industrial Area  Near V K I Association Bhawan  Sikar Road,Rajasthan,Jaipur,0141 - 2261315,anushulmalpani@rediffmail.com,Yes
Mamta Hospital,# 12  D Rajgopal Road  Sanjay Nagar  Next To Food Workd  Nagashetti Halli  Bangalore,Karnataka,Bengaluru,080 - 23415836 / 23413710,sunilac@airtelbroadband.in,No
Mamta Hospital,Mitra Nagar  Shivaji Nagar,Maharashtra,Latur,02382 - 243493 / 255091,feedback@mamtahospital.com,No
Mamta Hospital,# 877/2  Mata Road  Opp Home Guard Office  Near Roadways Workshop,Haryana,Gurgaon,0124 - 4795600 / 2220811 / 2220616,mamtahospital@hotmail.com,Yes
Manas Hospital,A-93  Sector 34  Noida  Uttarpradesh,Uttar Pradesh,Noida,2506622,manashospitalnoida@gmail.com,Yes
Manasa Hospital,G.Chandranna Building Near Old Bus Stop Devanahalli Town,Karnataka,Bangalore Rural,080 - 27682385,manasahospital2012@gmail.com,No
Mangala Hospital,Sampige Road K.R. Puram Hassan - 573201  K.R. Puram Hassan,Karnataka,Hassan,08172 - 267236 / 261891,mangalahsn@sancharnet.in,No
Mangala Hospital And Mangala Kidney Foundation,Vajra Hills  Kadri Road  Mangalore - 575003,Karnataka,Mangalore,0824 - 2443088 / 2443286 / 2443445,mangalahospital@rediffmail.com,No
Mangalore Institute Of Oncology,NEAR PUMPWELL   DAKSHINA KANNADA,Karnataka,Mangalore,44249999,MIO_MANGALORE@YAHOO.COM,No
Mani Speciality Hospital,# 252  Sampige Road  K.R.Puram,Karnataka,Hassan,08172 - 261729 / 260034,manispecialityhospital@gmail.com,No
Manidhari Hospital And Maloo Neuro Centre,644  Residency Road,Rajasthan,Jodhpur,0291 - 2648888 / 2648899,prashantmanidharihospital@gmail.com,No
Manipal Hospital,#98 Rustom Bagh  Hal Airport Road,Karnataka,Bengaluru,080 -  25023221 / 25024444 / 25024274 / 25266646 /,corporate@manipalhospitals.com,Yes
Manipal Hospital,Dalmia Board  Salem Banglore Highway,Tamil Nadu,Salem,0427 - 2346600 / 2345569,insurance.salem@manipalhospitals.com,No
Manipal Hospital Goa,Dr.E.Borges Road  Near Hotel Cidade De Goa  Dona Paula,Goa,Goa,0832 - 3048800 / 07 / 09,insurance.desk@manipalhospitals.com,No
Manipal North Side Hospital,# 71 11th Main Road  Opp To Railway Station  Malleswaram  Bangalore,Karnataka,Bengaluru,080 - 23341313 / 23365814 / 23460468,insurance.mnsh@manipalhospitals.com,Yes
Manipal Super Speciality Hospital,Near Vardhi  N.H. 5  Tadepalli  Vijayawada  Krishna Dist  Vijayawada  Tadepalli,Andhra Pradesh,Vijayawada,0866 - 2498200,Credit.Billingvijayawada@manipalhospitals.com,No
Manjalpur Hospital,1st  Floor  Abhishek House   Opp. Tulsi Dham Apptt.  Manjalpur  Vadodara,Gujarat,Vadodara,0265 - 2640030,SINGHAKESH@HOTMAIL.COM,No
Manju Sudha Multispeciality Hospital,4-20/A  Vikas Nagar  Dilshuknagar,Telangana,Hyderabad,040 - 2406464,manjusudhahospital@gmail.com,Yes
Manjushree Hospital,91  Amc Road   Kavalbyrasandra   R T Nagar Bangalore,Karnataka,Bengaluru,080 - 23632781 / 9845158817,manjushreehospital2000@gmail.com,No
Manu Hospital Research Centre,A1a Shyam Nagar  Sodala,Rajasthan,Jaipur,0141 - 2292530 / 2295567,vikrammanuhospital@gmail.com,Yes
Marble City Hospital And Research Centre,21  North Civil Lines  Near 2nd Bridge  Jabalpur,Madhya Pradesh,Jabalpur,0761 - 2450530 / 2450531 / 2450532 / 2750533,shiv@marblecityhospital.com,No
Marian Medical Centre,Arunapuram Palai,Kerala,Palai,04822 - 215519 / 210059 / 214219 / 212759,marianmedicalcentre@yahoo.com,No
Marina Medical Centre Pvt Ltd,Babupara  Near Kotwali P S,West Bengal,Jalpaiguri,03561 - 229604 / 231080,marinadesk@gmail.com,No
Marudhar Hospital,A-93-99  Singh Bhoomi  Khatipur,Rajasthan,Jaipur,0141 - 2356944,info@marudharhospital.com,Yes
Maruthi Hospital.,2374/26 Platinum Plaza Vijayanagar Club Road Bangalore,Karnataka,Bengaluru,23351555/23351222,maruthihospitalinsu@gmail.com,Yes
Maruti Hospital Pvt Ltd,37 H/8 Pattabiram Pillai St.  Tennur  Tennur,Tamil Nadu,Trichy,0431 - 2793141,claims_maruti@yahoo.com,No
Mary Queens Mission Hospital,Palampra P.O Kanjirappally Kottayam Kerala State,Kerala,Kanjirapally,04828 - 201300,maryqueenkplyinsudesk@gmail.com,No
Mata Chanan Devi Hospital,C - 1  Janak Puri  Newdelhi,Delhi,New Delhi,011 - 45582039 / 45582033 / 45582034,panel@mcdh.in,Yes
Mata Roop Rani Maggo And Mahindru Hospital,C-9  Om Vihar  Phase -1  Uttam Nagar,Delhi,New Delhi,11-25372226/7/9/30,mrrmhospital@yahoo.in,Yes
Matha Medical Centre,Mathilil P.O  Kollam-691601  Kerala State,Kerala,Mathilil P.O,0474 - 2703003 / 2704003,mathamedicalcentre@gmail.com,No
Matoshree Madanbai Dhariwal Hospital,1669  Revenue Colony  Shirur,Maharashtra,Pune,02138 - 224599 / 225599,mmdh@manikchandgroup.com,No
Matrika Hospital,6-3-1100/2 Tnagar  Somajiguda,Telangana,Hyderabad,040 - 23404038 / 23409351,matrikahospital99@gmail.com,Yes
Matrix Hospital,Plot No:4  5  14  15 Pragathi Nagar  Ramanthapur,Telangana,Hyderabad,40-27035678 / 64647575,matrixhospital@gmail.com,Yes
Max Balaji Hospital,108-A  I.P. Extension  Delhi - 110092,Delhi,New Delhi,011 - 43033333 / 40554055,tpa.ppg@maxhealthcare.com,Yes
Max Hospital (A Unit of ALPS Hospital Limited),Block-B  Sushant Lok Phase-I  Gurgaon,Haryana,Gurgaon,0124 - 6623000,tpa.ggn@maxhealthcare.com,Yes
Max Smart Superspeciality Hospital,Mandir Marg  Saket  New Delhi,Delhi,New Delhi,011 - 40699999 / 26852112 / 26852113 / 26852114,mss_tpa@maxhealthcare.com,Yes
Max Super Speciality Hospital,Near Civil Hospital  Phase- 6  Sas Nagar  Mohali,Punjab,Mohali,0172-6652000,tpa.mohali@maxhealthcare.com,Yes
Max Super Speciality Hospital,Civil Hospital Premises   Nh-64  Mansa Raod,Punjab,Bathinda,0164 - 6601000,tpa.bhatinda@maxhealthcare.com,No
Max Super Speciality Hospital (East Wing) A Unit Of Devki Devi Foundation,(East Wing) Devki Devi Foundation  2  Press Enclave Road  Saket  New Delhi - 110017,Delhi,New Delhi,9899960546,TPA.MHVI@maxhealthcare.com,Yes
"Max Super Speciality Hospital, Vaishali (A Unit Of Crosslay Remedies Limited)",W-3 Sec 1   Vaishali   Ghaziabad,Uttar Pradesh,Ghaziabad,0120 - 4173000 / 4188000,tpa.pch@gmail.com,Yes
Max Super Specialty Hospital,Malsi  Mussoorie Diversion Road  Dehradun,Uttarakhand,Dehradun,0135-6673000,tpa.ddn@maxhealthcare.com,No
Max Super Specialty Hospital (West Wing) Unit Of Max Healthcare,(West Wing) 1  Press Enclave Road  Saket,Delhi,New Delhi,011 - 66116666 / 66115555 / 66114545 / 66115050,tpa.mssh@maxhealthcare.com,Yes
Max Superspeciality Hospital,Fc- 50  C & D Block  Shalimar Bagh,Delhi,New Delhi,011 - 66421049 -1028,tpa.shb@maxhealthcare.com,Yes
Maxivision Eye Hospitals Pvt Ltd - somajiguda,6-3-903/A/1-1  Raj Bhavan Road  Somajiguda  Hyderabad,Telangana,Hyderabad,40-44855577,maxivisioninsurance@gmail.com,Yes
Maya Nursing Home,B-225  1th Avenue  Ashok Nagar  Chennai - 600083  India,Tamil Nadu,Chennai,044 - 24891817 / 24891830,shruthidharani2015@gmail.com,Yes
Mayo Medical Centre,Vikas Khand-2  Gomti Nagar  Lucknow,Uttar Pradesh,Lucknow,0522 - 2398614 / 15,mmc.lucknow@gmail.com,No
Mayom Hospital,D-Block  South City-I,Haryana,Gurgaon,4111880/4212500-001,admin.hr@mayomhospital.com,Yes
Mayur Hospital,Mahatma Phule Nagar  Chikhali Road  Chinchwad,Maharashtra,Pune,020 - 27492129,mayurhospital@yahoo.com,No
Mayur Hospital And Research Centre,Plot # 304  Scheme No. 94  Ee Ring Road  Indore - 452016,Madhya Pradesh,Indore,0731 - 2595111 / 222 / 333 / 444,guddunadeem@yahoo.com,Yes
Mazumdar Shaw Medical Centre Unit Of Narayana Health,Nh Health City No. 25a/A Bommasandya Industrial Area Hosur Road,Karnataka,Bengaluru,80-71222222,admissioninsurance.msh@nhhospitals.org,Yes
Medanta The Medicity,Sector-38  Gurgaon,Haryana,Gurgaon,0124 - 4141414,Tpa.Desk@Medanta.org,Yes
Medi Hope Hospitals And Research Center Pvt Ltd,# 114/1  Malleshpallya Main Road New Thippasandra Post,Karnataka,Bengaluru,080 - 67611111 / 67611000,insurance@medihopehospitals.com,No
Medi Point Hospital,Plot No.-38  S.R. No.-4912  Shiraj Chauk  Off Nagar Road  Near Bhaji Market,Maharashtra,Pune,020 - 27019234 / 32930715,mh.mediclaim@gmail.com,No
Medica North Bengal Clinic,Meghnath Saha Sarani  Pradhan Nagar  Siliguri,West Bengal,Siliguri,0353 - 2510441,contactus@mnbc.in,No
Medica Superspecialty Hospital,127 Mukundapur E M Bypass,West Bengal,Kolkata,033 - 66520000,tpadesk.mshk@medicasynergie.in,Yes
Medical Trust Hospital,M.G. Road  Cochin,Kerala,Ernakulam-Cochin,0484 - 2358001/2/3/4/5/6/7/8/9/10/21,mthinsurance@medicaltrusthospital.in,No
Medicare Hospital,Medicare Junction  Kodungalloor Post  Thrissur,Kerala,Kodungallur,0480 - 2808111,medicarehospital@gmail.com,No
Medicare Nurshing Home,39 B/C Gandhi Nagar Jammu,Jammu Kashmir,Jammu,0191 - 2454822 / 2435070,navindu1@yahoo.com,No
Medicheck Hospital,I C/53  Nit  Near I.O.B Bank,Haryana,Faridabad,129-4025753 / 9718864619,medicheckmediclaim@gmail.com,Yes
Medicure Centre(Malpani Hospital),RAJA MAIDAM ROAD),Assam,Jorhat,2321730,MALPANINURSINGHOME@GMAIL.COM,No
Mediland Nursing Home,Hpl Linc Rd.Po. Basudevpur  Haldia   Paschim Medinipur  Do,West Bengal,Haldia,03224 - 275200,pradipbhattacharyamediland@gmail.com,No
Medilife Multispeciality Hospital And Icu,Behind Jyotiba Temple  Alfonso School Road  Vijay Nagar  Kalewadi,Maharashtra,Pune,020 - 27270740 / 9552530209 / 9552530201 / 203 / 2,medilifehospital@yahoo.com,Yes
Mediline Hospital,Mangalgiri Raod  Guntur  Guntur,Andhra Pradesh,Guntur,0863 - 2322064,mediline99@gmail.com,No
Medindia Hospitals,83  Valluvar Kottam High Road  Nungabakkam,Tamil Nadu,Chennai,044 - 28311001 / 28311415/28204757,medindiaclaim@gmail.com,Yes
Mediscope Hospital Pvt Ltd,#11   Pillanna Garden   Iii Stage,Karnataka,Bengaluru,080 - 25472757 / 25472756 / 65676302 / 01,mediscope_mediclaim@yahoo.com,Yes
Medistar Hospital,361 The Mall,Punjab,Amritsar,0183 - 2222072 / 2212858,naval_chopra@hotmail.com,Yes
Meditrina Hospitals Pvt Ltd,Plamoodu  Pattom  Thiruvananthapuram,Kerala,Thiruvananthapuram,471-3063000-101,meditrinainsurance@gmail.com,No
Meditrina Institute Of Medical Sciences,278  Central Bazar Road  Ramdaspeth,Maharashtra,Nagpur,0712 - 6669698 / 28,billing.meditrina@gmail.com,No
Mediview Nursing Home Pvt Ltd,74. Broad Steet  Kolkata - 19,West Bengal,Kolkata,033 - 22803991 / 92,MEDIVIEWNURSINGHOME@GMAIL.COM,Yes
Medway Medical Centre,8/22.  4th Cross Street  Trustpuram Kodambakkam,Tamil Nadu,Chennai,44-24734455/24734343,medwaymedicalcentre@gmail.com,Yes
Meena Hospital,10-5-682  Sai Ranga Towers  Thukaramgate  North Lallaguda  Secunderabad  Thukaramgate,Telangana,Hyderabad,040 - 27730674,meenahospital@yahoo.com,Yes
Meena Nuring Home,T.K.Road  Bhadravathi  Shimoga[Dist],Karnataka,Bhadravathy,08282 - 266665 / 265505,meenanursinghomebdvt@gmail.com,No
Meenakshi Hospital,244/2  Trichy Main Road  Near New Bus Stand  Tanjore -613005,Tamil Nadu,Thanjavur,226474/226575,mmhins@yahoo.co.in,No
Meenakshi Hospital,B-13  Kaushambi  Near Dabur Chowk,Uttar Pradesh,Ghaziabad,0120 - 4123330 / 4152741 / 2770202 / 2770684,meenakshihospital@gmail.com,Yes
Meenakshi Hospital,No. 979  25th Main Road Hanumanthnagar,Karnataka,Bengaluru,80-2655800,info@meenakshihospitals.in,Yes
Meenakshi Mission Hospital And Research Centre,Lake Area  Melur Road,Tamil Nadu,Madurai,0452 - 2588741 / 2588742 / 2588743,mmhins@gmail.com,No
Meera Hospital,Kartavya Shiv Marg  Bani Park  Jaipur,Rajasthan,Jaipur,0141 - 202220 / 204312,info@meerahospital.com,No
Meera Nursing Home,142/9 Akshaya Bulding  Blocka Pusasawakkam  High Road  Kellys,Tamil Nadu,Chennai,044 - 26413663,campsreeni@yahoo.com,No
Meera Nursing Home,M.G. Road Hosur - 635109,Tamil Nadu,Hosur,04344 - 242827 / 242335,ttsmeera@rediffmail.com,No
Mega City N H,12 Jessore Road  Chanpadali  Barasat  24pgs(N),West Bengal,Barasat,033 - 25526319,megacitynh@gmail.com,Yes
Megha Surgical Hospital,Ashmi Apartment  Bachani Nagar Road  Malad(East)  Mumbai.,Maharashtra,Mumbai,022 - 28835352 / 28819077,dr_bharat_m@yahoo.co.in,No
Meher Ambe Hospital,Raj Sneha Bld S N Road  Mulund (West),Maharashtra,Mumbai,022 - 25600635,meherambenursinghomee@gmail.com,Yes
Mehta Multispeciality Hospitals India Pvt Ltd,2(E) Mc Nicholas Road  3rd Lane  Chetput,Tamil Nadu,Chennai,044 - 42271000/ 42271001,BILLING@MEHTAHOSPITAL.COM,Yes
Menangudy Hospitals India Pvt Ltd,19/1  1st Avenue  Shastri Nagar  Adyar  Chennai,Tamil Nadu,Chennai,44-24434444/5/6,menangudy_insurance@yahoo.com,No
Mercy Nursing Home Pvt Ltd,Karukachal P.O  Kottaym-686544  Kerala,Kerala,Karukachal,0481 - 2485135 / 2485035 / 2487435 / 2489235,mercynursinghome@gmail.com,No
Meridian Nursing Homes Hospital Pvt Ltd,Opp Power House   Ledupur  Ashapur,Uttar Pradesh,Varanasi,0542 - 2591300,meridian_nursing@rediffmail.com,No
Mes Medical College Hospital,Palachode(Po)Malaparamb,Kerala,Perinthalmanna,3298300,insurance@mesams.com,No
Metas Adventist Hospital (cashless only for MA Policies),Post Box No 24  Athwa Lines,Gujarat,Surat,2667591/2667592/2667593/2667594/2667595,metas.hospital@yahoo.com,No
Metro Heart Institute,Sunflag Hospital  Sector-16a,Haryana,Faridabad,0129 - 4277777,tpa@metrohospitalfaridabad.com,Yes
Metro Hospital And Cancer Institute,21  Community Centre  Preet Vihar,Delhi,New Delhi,11-49286666,niloymitra@yahoo.com,Yes
Metro Hospital And Cancer Research Centre,Kuchaini Parisar  Damoh Naka,Madhya Pradesh,Jabalpur,0761 - 2641661 / 2 / 4006733,metro_cancerhospital@yahoo.com,No
Metro Hospital And Heart Institute,Plt No- F1  Sec- 6a  Sidcul,Uttarakhand,Haridwar,1334-239040/42/43,TPA-HWR@METROHOSPITALS.COM,No
Metro Hospital And Heart Institute,14  Ring Road  Lajpat-Iv,Delhi,New Delhi,011 - 26481356 / 26461157 / 26481355 / 26237963,tpamhilajpat@metrohospitals.com,Yes
Metro Hospital And Reserch Institute,Harni Savli Road  Harni,Gujarat,Vadodara,"2492525, 2491414, 09601277020,30,40,50",sdjoshi@metrohospitals@.com,No
Metro Hospitals And Heart Institutes,X-1  Sector - 12   Noida -U.P.,Uttar Pradesh,Noida,0120 - 2533491/ 2444466 / 4366666 / 9810128222,tpadesk@metrohospitals.com,Yes
Metro Mas Heart Care And Multispeciality Hospital,Manas Arogya Sadan  Shipra Path  Near Technology Park  Mansarover,Rajasthan,Jaipur,141-2786001-006,tpa-mas@metrohospitals.com,Yes
Metro Multi Speciality Hospital,L-94  Sector 11  Noida,Uttar Pradesh,Noida,0120 - 2522959 / 2522056,tpadeskms@metrohospitals.com,Yes
Metro Super Speciality Hospitals,Near Nakkala Road Cross Junction  Prakasham Road  Suryaraopet .,Andhra Pradesh,Vijayawada,0866 - 2442666 / 2442324,metrossh@gmail.com,No
Mgm Muthoot Medical Centre P Ltd,Ring Road  Pathanamthitta,Kerala,Pathanamthitta,3005554,muthootisurance@gmail.com,No
Microlap Hospital,24  Bepin Pal Road  Kolkatta,West Bengal,Kolkata,033 - 24669910 / 24640702,microlap@rediffmail.com,Yes
Midland Nursing Home Pvt Ltd,33 Anupama Road  Kolkata,West Bengal,Kolkata,033 - 2583-5766 / 9130,midlandnursinghomepvtltd@gmail.com,Yes
Miot Hospital,4/112 Mount Poonamallee Road Manapakkam,Tamil Nadu,Chennai,044 - 22492288,insurance@miothospitals.com,Yes
Mira Bhayandar Institute For Reproductive Assistance,Near Dmart  Off 150 Ft Road  Bhayandar West,Maharashtra,Thane,9029080008,rajesh.karadia@gmail.com,Yes
Mission Of Mercy Hospital And Research Centre,125/1  Park Street  Kolkata,West Bengal,Kolkata,033 - 30217710 / 30217703 / 30217704,mercyhospitaltpadesk@gmail.com,Yes
Mithraa Hospital,#22  Sivagangai Road  Sattamangalam  Near Anna Bus Stand,Tamil Nadu,Madurai,452-2534422,mithraahospital@yahoo.in,No
Mitr Hospital,Plot No-37  Eden Garden Chs  Sec-5  Near Harmony Inernational School  Kharghar  Navi Mumbai-410210,Maharashtra,Navi Mumbai,22-27743558/27744239,manisha.singh@mitrhospital.com,Yes
Mitra Hospital,“Mitra Priya ” Udupi,Karnataka,Udupi,0820 - 2520828 / 25212828 / 2521928,iprabhakar@mitrahospital.com,No
Mittal Hospital And Research Centre,Pushkar Road  Ajmer,Rajasthan,Ajmer,0145 - 2603600-07,tpa@mittalhospital.com,No
Modern Hospital,39  Model Town Behind Gurudwara Sahib  Jalandhar,Punjab,Jalandhar,0181 - 2460046 / 2440781,modernhospitaljal@yahoo.in,Yes
Modern Hospital,P B No.22  Kodungalloor Post,Kerala,Kodungallur,0480 - 6451456,healthcheckup@modernhospital.com,No
Modi General Hospital Iccu,#237/3258  Opposite Municipal Market  Tagore Nagar  Vikhroli (E),Maharashtra,Mumbai,022 - 25742061 / 25745666 / 25748939 / 25746595,modihospitals@rediffmail.com,Yes
Modi Hospital,Shreenagar  Wagale Estate  Thane (West)  Thane (W),Maharashtra,Mumbai,022 - 25821414 / 25825252 / 25807575,kamal.modi@yahoo.com,Yes
Modi Nursing Home And Iccu,A – 101  Kalpavrux  Opp. G.E.B Substation,Gujarat,Vadodara,0265 - 2333809,bhadhresh_modi@yahoo.com,No
Mody Hospital,Plot No 2 & 3  Sector 2 Airoli,Maharashtra,Mumbai,022 - 27791851 / 9619057916,MODYHOSPITAL@GMAIL.COM,Yes
Mohan Clinic,46  Lake Temple Road,West Bengal,Kolkata,033 - 24655841 / 24658225,mohanclinic1@gmail.com,Yes
Monga Hospital And Stone Centre,Mahesh Nagar  Jagadhari Road  Ambala Cantt,Haryana,Ambala Cantt,0171 - 2651688 / 9896065168,MONGAHOSPITALAMBALA@REDIFFMAIL.COM,Yes
Monga Medical Centre,J-10  Krishna Nagar  Near Bses Office,Delhi,New Delhi,011-2208249/22008165,mmc_monga@yahoo.com,Yes
Moraya Hospital,Power House Chowk  Chinchwadgaon  Pune - 411033,Maharashtra,Pune,020 - 67306500 / 01 / 11,amfmoraya@gmail.com,Yes
Mosc Medical Mission Hospital,Mosc Medical Mission Hospital  Kolenchery-682311  Ernakulam  Kerala,Kerala,kolenchery,0484 - 3055731,insure@moscmm.org,No
Mother And Child Hospital And Family Hospital,Dornakal Raod  Suryaraopet,Andhra Pradesh,Vijayawada,0866 - 2434882,familyhospital@gmail.com,No
Mother Care,Ge-1  City Centre ; Sector-4   Bokaro Steel City ;,Jharkhand,Bokaro,06542 - 233391,mothercare.bksc@gmail.com,No
Mother Care And Health Centre Pvt Ltd,Vattambalam Kumaramputhur,Kerala,Palakkad,492-4232600,admin@mothercare.org.in,No
Mother Hospital,6-2-145  T.Nagar,Andhra Pradesh,Tirupati,0877 - 2286112 / 2287112,motherhospitaltpt@gmail.com,No
Motherhood,No 324  Cmh Road  Indiranagar 1st Stage,Karnataka,Bengaluru,"80 -25190000,25202233,25202244",info@motherhoodindia.com,Yes
Motherhood.,No 542  T.T.K Road  Alwarpet,Tamil Nadu,Chennai,44-49154444,info_ttk@motherhoodindia.com,Yes
Moulana Hospital,P.B. No. 31  Ootty Road  Perinthalmanna  Mallapuram Dist,Kerala,Perinthalmanna,04933 - 300600 / 307170,insurance@moulanahospital.com,No
Mp Birlahospital And Priyavanda Birla Cancer Institute,Unit M.P. Birla Institute Of Fundamental Research Kolkata India  J.R.Birla Road,Madhya Pradesh,Satna,7672257411-257412,mpbirlahospitalpbcri.satna@gmail.com,No
Ms Ramaiah Harsha Hospital,No. 193/4  Nh - 4  Sondekoppa Circle  Nelamangala By-Pass  Bangalore - 562123,Karnataka,Bangalore Rural,080 - 27723959 / 277225161 / 9483222666/888,msramaiahharsha@gmail.com,No
Mukat Hospital And Heart Institute,S C O 47-49 Sector 34-A Chandigargh,Haryana,Chandigarh,172-434444,insurancemukat@gmail.com,Yes
Mukund Maternity And Surgical Nursing Home,Ak Road Andheri(E) Mumbai-59,Maharashtra,Mumbai,022 - 28325433 / 28328456,bipinpandit@gmail.com,Yes
Mukunda Hospital,Payyanur - 670307  Kannur Dist,Kerala,Payyannur,0498 - 5205119,mukunthglobalhospitals@gmail.com,No
Muljibhai Patel Urological Hospital,DR. VIRENDRA DESAI ROAD  NADIAD,Gujarat,Nadiad,2520323,riddhisolanki88@gmail.com,No
Muskan Hospital And Reseach Centre,Ram Nagar Colonynear R.V.S. Collegechas  Bokaro,Jharkhand,Bokaro,06542 - 236186 /236187,muskanhospital@yahoo.co.in,No
Muthoot Health Care Private Limited,College Road Kozhencherry,Kerala,Kozhencherry,0468 - 2314000,mss.muthootmedicalcentre@gmail.com,No
Muthu Hospital,No. 105  Pulianthope High Road Chennai,Tamil Nadu,Chennai,44-43599416/ 43599417,muthuhospital@ymail.com,Yes
Muvva Gopala Hospitals Pvt Ltd,18-1-10  Zidduvari St  Near Bonkula Dibba  Kota Junction,Andhra Pradesh,Vizianagaram,8922-229917,muvvagopalahospitalspvtltd@gmail.com,No
Mvj Medical College And Research Hospital,Dandupalya Kolathurpost  Hoskote  Nh-04,Karnataka,Hoskote,080 - 27932244,medsupdt.mvjmcrh@gmail.com,No
Mythri Hospital,H.No# 13-6-434/C/148  Gudimalkapur  Mehidipatnam Ring Road,Telangana,Hyderabad,040 - 64588805 / 64588806 / 6458807,mythriinsurance@gmail.com,Yes
Mythri Hospital,Plot No- 5-4/12 To 16  Main Road  Chandanagar,Telangana,Hyderabad,040 - 64633357 / 64633359,insurance.mythri@gmail.com,Yes
N G Hospital Pvt Ltd,577  Trichy Road Near Singanallur Signal,Tamil Nadu,Coimbatore,422-2595963,nghospitalsinsurance@gmail.com,No
N M Virani Wockhardt Hospital (No Cashless & Reimbursement For Nic Policies),Kalawad Road  Rajkot,Gujarat,Rajkot,0281 - 6694444,tpa.rajkot@wockhardthospitals.com,No
N M Wadia Institute Of Cardiology,32  Sassoon Road  Poona,Maharashtra,Pune,020 - 26058136 / 546 / 142 / 141 / 138 / 432,info@nmwcardiology.org,Yes
N R P Hospitals,Sundarapuram Coimbatore,Tamil Nadu,Coimbatore,0422 - 2672886 / 2673979,nrphospitals@yahoo.co.in,No
N R T Hospital,Madurai Road  Theni,Tamil Nadu,Theni,04546 - 252626,nrthospitalstheni@gmail.com,No
Nabajiban Hospital,5  Shibdas Bhaduri,West Bengal,Kolkata,33-25551544/2613,nhpl2010@gmail.com,Yes
Nadkarnis 21st Century Hospitals Pvt Ltd,Natraj Complex  Plot No. Cm-50  No. 8  Vapi,Gujarat,Vapi,0260 - 2429350 / 35,hospital21st@yahoo.in,No
Nagarjune Hospital,Kanuru  Kanuru  Vijaywada,Andhra Pradesh,Vijayawada,0866 - 2554701,admin@nagarjunahospitals.com,No
Nagpal Superspeciality Hospital,The Mall  Bhatinda,Punjab,Bathinda,0164 - 2253406,nagpalsuper@gmail.com,No
Nakoda Hospital,Nageshwar Park  Dr. Ambedkar Cross Road  Devchand Nagar  Bhayander (W),Maharashtra,Mumbai,022 - 28193949,vj.nakoda@yahoo.com,Yes
